rank,primary_class,count
1,R86 - 86 - Human health activities,100
2,R87 - 87 - Residential care activities,92
3,Q85 - 85 - Education,32
4,N72 - 72 - Scientific research and development,32
5,R88 - 88 - Social work activities without accommodation,22
6,N70 - 70 - Activities of head offices; management consultancy activities,16
7,T96 - 96 - Personal service activities,12
8,I56 - 56 - Food and beverage service activities,10
9,A03 - 03 - Fishing and aquaculture,9
10,V99 - 99 - Activities of extraterritorial organizations and bodies,9
11,S93 - 93 - Sports activities and amusement and recreation activities,8
12,"O82 - 82 - Office administrative, office support and other business support activities",8
13,O80 - 80 - Investigation and security activities,7
14,"O79 - 79 - Travel agency, tour operator, and other travel related activities",7
15,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",6
16,C28 - 28 - Manufacture of machinery and equipment n.e.c.,5
17,E39 - 39 - Remediation and other waste management service activities,5
18,S90 - 90 - Arts creation and performing arts activities,4
19,P84 - 84 - Public administration and defence; compulsory social security,4
20,O78 - 78 - Employment activities,4
