rank,primary_class,count
1,P84 - 84 - Public administration and defence; compulsory social security,12
2,"N73 - 73 - Activities of advertising, market research and public relations",9
3,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",7
4,Q85 - 85 - Education,7
5,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",7
6,"L64 - 64 - Financial service activities, except insurance and pension funding",5
7,N72 - 72 - Scientific research and development,4
8,"S91 - 91 - Library, archives, museum and other cultural activities",4
9,C31 - 31 - Manufacture of furniture,4
10,C10 - 10 - Manufacture of food products,3
11,U97 - 97 - Activities of households as employers of domestic personnel,3
12,A02 - 02 - Forestry and logging,3
13,O78 - 78 - Employment activities,2
14,R87 - 87 - Residential care activities,2
15,I55 - 55 - Accommodation,2
16,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,2
17,G47 - 47 - Retail trade,2
18,C28 - 28 - Manufacture of machinery and equipment n.e.c.,2
19,T96 - 96 - Personal service activities,2
20,N70 - 70 - Activities of head offices; management consultancy activities,1
