rank,primary_class,count
1,R86 - 86 - Human health activities,74
2,"N73 - 73 - Activities of advertising, market research and public relations",72
3,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",57
4,U97 - 97 - Activities of households as employers of domestic personnel,38
5,Q85 - 85 - Education,36
6,P84 - 84 - Public administration and defence; compulsory social security,33
7,O78 - 78 - Employment activities,32
8,R88 - 88 - Social work activities without accommodation,31
9,R87 - 87 - Residential care activities,28
10,V99 - 99 - Activities of extraterritorial organizations and bodies,24
11,N70 - 70 - Activities of head offices; management consultancy activities,19
12,T94 - 94 - Activities of membership organizations,14
13,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",13
14,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,13
15,O80 - 80 - Investigation and security activities,11
16,I56 - 56 - Food and beverage service activities,10
17,I55 - 55 - Accommodation,10
18,N72 - 72 - Scientific research and development,10
19,C15 - 15 - Manufacture of leather and related products,10
20,T96 - 96 - Personal service activities,8
