rank,primary_class,count
1,R86 - 86 - Human health activities,53
2,"S91 - 91 - Library, archives, museum and other cultural activities",44
3,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",31
4,C18 - 18 - Printing and reproduction of recorded media,28
5,R87 - 87 - Residential care activities,18
6,C23 - 23 - Manufacture of other non-metallic mineral products,17
7,P84 - 84 - Public administration and defence; compulsory social security,16
8,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",14
9,Q85 - 85 - Education,11
10,"N73 - 73 - Activities of advertising, market research and public relations",10
11,"N74 - 74 - Other professional, scientific and technical activities",9
12,C31 - 31 - Manufacture of furniture,7
13,N72 - 72 - Scientific research and development,7
14,S90 - 90 - Arts creation and performing arts activities,5
15,O78 - 78 - Employment activities,5
16,V99 - 99 - Activities of extraterritorial organizations and bodies,4
17,U97 - 97 - Activities of households as employers of domestic personnel,4
18,C24 - 24 - Manufacture of basic metals,3
19,C19 - 19 - Manufacture of coke and refined petroleum products,3
20,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",3
