rank,primary_class,count
1,"N73 - 73 - Activities of advertising, market research and public relations",573
2,V99 - 99 - Activities of extraterritorial organizations and bodies,457
3,C15 - 15 - Manufacture of leather and related products,380
4,Q85 - 85 - Education,360
5,R86 - 86 - Human health activities,340
6,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,325
7,"S91 - 91 - Library, archives, museum and other cultural activities",304
8,R88 - 88 - Social work activities without accommodation,235
9,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",220
10,O78 - 78 - Employment activities,205
11,I55 - 55 - Accommodation,198
12,R87 - 87 - Residential care activities,190
13,O80 - 80 - Investigation and security activities,187
14,U97 - 97 - Activities of households as employers of domestic personnel,183
15,N70 - 70 - Activities of head offices; management consultancy activities,170
16,S90 - 90 - Arts creation and performing arts activities,160
17,S93 - 93 - Sports activities and amusement and recreation activities,158
18,N72 - 72 - Scientific research and development,132
19,C31 - 31 - Manufacture of furniture,128
20,C12 - 12 - Manufacture of tobacco products,122
