rank,primary_class,count
1,R86 - 86 - Human health activities,30
2,R87 - 87 - Residential care activities,20
3,V99 - 99 - Activities of extraterritorial organizations and bodies,20
4,N71 - 71 - Architectural and engineering activities; technical testing and analysis,19
5,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",19
6,A02 - 02 - Forestry and logging,15
7,N72 - 72 - Scientific research and development,11
8,N75 - 75 - Veterinary activities,11
9,Q85 - 85 - Education,10
10,P84 - 84 - Public administration and defence; compulsory social security,10
11,U97 - 97 - Activities of households as employers of domestic personnel,10
12,"K62 - 62 - Computer programming, consultancy and related activities",9
13,"C16 - 16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",9
14,"S91 - 91 - Library, archives, museum and other cultural activities",9
15,A03 - 03 - Fishing and aquaculture,8
16,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",8
17,"N74 - 74 - Other professional, scientific and technical activities",7
18,"O82 - 82 - Office administrative, office support and other business support activities",7
19,C18 - 18 - Printing and reproduction of recorded media,7
20,F43 - 43 - Specialized construction activities,7
