rank,primary_class,count
1,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",381
2,R86 - 86 - Human health activities,366
3,P84 - 84 - Public administration and defence; compulsory social security,266
4,Q85 - 85 - Education,238
5,R87 - 87 - Residential care activities,234
6,"N73 - 73 - Activities of advertising, market research and public relations",225
7,U97 - 97 - Activities of households as employers of domestic personnel,224
8,O78 - 78 - Employment activities,201
9,A02 - 02 - Forestry and logging,195
10,A03 - 03 - Fishing and aquaculture,184
11,R88 - 88 - Social work activities without accommodation,156
12,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",130
13,V99 - 99 - Activities of extraterritorial organizations and bodies,121
14,T94 - 94 - Activities of membership organizations,114
15,N72 - 72 - Scientific research and development,102
16,"A01 - 01 - Crop and animal production, hunting and related service activities",84
17,I56 - 56 - Food and beverage service activities,78
18,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,75
19,"S91 - 91 - Library, archives, museum and other cultural activities",62
20,T96 - 96 - Personal service activities,60
