rank,primary_class,count
1,O78 - 78 - Employment activities,956
2,I56 - 56 - Food and beverage service activities,358
3,R86 - 86 - Human health activities,158
4,T94 - 94 - Activities of membership organizations,137
5,"O82 - 82 - Office administrative, office support and other business support activities",89
6,A03 - 03 - Fishing and aquaculture,82
7,C15 - 15 - Manufacture of leather and related products,74
8,"O79 - 79 - Travel agency, tour operator, and other travel related activities",66
9,P84 - 84 - Public administration and defence; compulsory social security,63
10,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",58
11,O80 - 80 - Investigation and security activities,58
12,R88 - 88 - Social work activities without accommodation,58
13,Q85 - 85 - Education,57
14,R87 - 87 - Residential care activities,54
15,I55 - 55 - Accommodation,53
16,T96 - 96 - Personal service activities,53
17,"N73 - 73 - Activities of advertising, market research and public relations",49
18,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,38
19,C12 - 12 - Manufacture of tobacco products,36
20,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",34
