rank,primary_class,count
1,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1269
2,R86 - 86 - Human health activities,696
3,A02 - 02 - Forestry and logging,685
4,P84 - 84 - Public administration and defence; compulsory social security,540
5,C18 - 18 - Printing and reproduction of recorded media,515
6,"N73 - 73 - Activities of advertising, market research and public relations",500
7,V99 - 99 - Activities of extraterritorial organizations and bodies,488
8,J58 - 58 - Publishing activities,457
9,"D35 - 35 - Electricity, gas, steam and air conditioning supply",422
10,A03 - 03 - Fishing and aquaculture,404
11,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",328
12,R87 - 87 - Residential care activities,295
13,"A01 - 01 - Crop and animal production, hunting and related service activities",263
14,Q85 - 85 - Education,238
15,N72 - 72 - Scientific research and development,213
16,S92 - 92 - Gambling and betting activities,213
17,O80 - 80 - Investigation and security activities,186
18,H51 - 51 - Air transport,180
19,M68 - 68 - Real estate activities,179
20,"L64 - 64 - Financial service activities, except insurance and pension funding",171
