rank,primary_class,count
1,R87 - 87 - Residential care activities,50
2,V99 - 99 - Activities of extraterritorial organizations and bodies,34
3,R86 - 86 - Human health activities,33
4,N72 - 72 - Scientific research and development,32
5,Q85 - 85 - Education,23
6,"A01 - 01 - Crop and animal production, hunting and related service activities",22
7,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",18
8,P84 - 84 - Public administration and defence; compulsory social security,16
9,"N73 - 73 - Activities of advertising, market research and public relations",13
10,A03 - 03 - Fishing and aquaculture,13
11,R88 - 88 - Social work activities without accommodation,11
12,O80 - 80 - Investigation and security activities,9
13,N75 - 75 - Veterinary activities,9
14,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",8
15,A02 - 02 - Forestry and logging,8
16,N70 - 70 - Activities of head offices; management consultancy activities,7
17,I55 - 55 - Accommodation,7
18,"O82 - 82 - Office administrative, office support and other business support activities",6
19,J58 - 58 - Publishing activities,6
20,T96 - 96 - Personal service activities,6
