rank,primary_class,count
1,R86 - 86 - Human health activities,86
2,U97 - 97 - Activities of households as employers of domestic personnel,31
3,R87 - 87 - Residential care activities,25
4,Q85 - 85 - Education,17
5,R88 - 88 - Social work activities without accommodation,16
6,"A01 - 01 - Crop and animal production, hunting and related service activities",16
7,N70 - 70 - Activities of head offices; management consultancy activities,16
8,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,12
9,V99 - 99 - Activities of extraterritorial organizations and bodies,7
10,A02 - 02 - Forestry and logging,7
11,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",7
12,"L64 - 64 - Financial service activities, except insurance and pension funding",7
13,P84 - 84 - Public administration and defence; compulsory social security,6
14,A03 - 03 - Fishing and aquaculture,6
15,O81 - 81 - Services to buildings and landscape activities,5
16,O78 - 78 - Employment activities,4
17,C28 - 28 - Manufacture of machinery and equipment n.e.c.,4
18,I56 - 56 - Food and beverage service activities,4
19,F41 - 41 - Construction of residential and non-residential buildings,4
20,"O79 - 79 - Travel agency, tour operator, and other travel related activities",3
