rank,primary_class,count
1,R87 - 87 - Residential care activities,94
2,O80 - 80 - Investigation and security activities,79
3,Q85 - 85 - Education,45
4,R86 - 86 - Human health activities,45
5,V99 - 99 - Activities of extraterritorial organizations and bodies,27
6,P84 - 84 - Public administration and defence; compulsory social security,22
7,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",15
8,"L64 - 64 - Financial service activities, except insurance and pension funding",15
9,O78 - 78 - Employment activities,14
10,N72 - 72 - Scientific research and development,12
11,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",11
12,T96 - 96 - Personal service activities,10
13,O77 - 77 - Rental and leasing activities,10
14,"E38 - 38 - Waste collection, treatment and disposal, and recovery activities",7
15,U97 - 97 - Activities of households as employers of domestic personnel,7
16,C12 - 12 - Manufacture of tobacco products,7
17,J58 - 58 - Publishing activities,6
18,R88 - 88 - Social work activities without accommodation,6
19,G47 - 47 - Retail trade,6
20,S90 - 90 - Arts creation and performing arts activities,6
