rank,primary_class,count
1,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",13
2,R86 - 86 - Human health activities,12
3,V99 - 99 - Activities of extraterritorial organizations and bodies,8
4,"K62 - 62 - Computer programming, consultancy and related activities",7
5,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,6
6,A02 - 02 - Forestry and logging,5
7,N70 - 70 - Activities of head offices; management consultancy activities,5
8,Q85 - 85 - Education,4
9,R87 - 87 - Residential care activities,4
10,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",4
11,N72 - 72 - Scientific research and development,4
12,J58 - 58 - Publishing activities,4
13,"C29 - 29 - Manufacture of motor vehicles, trailers and semi-trailers",3
14,F42 - 42 - Civil engineering,3
15,"N73 - 73 - Activities of advertising, market research and public relations",2
16,O81 - 81 - Services to buildings and landscape activities,2
17,T94 - 94 - Activities of membership organizations,2
18,"O82 - 82 - Office administrative, office support and other business support activities",2
19,F41 - 41 - Construction of residential and non-residential buildings,2
20,"D35 - 35 - Electricity, gas, steam and air conditioning supply",2
