rank,primary_class,count
1,U97 - 97 - Activities of households as employers of domestic personnel,30
2,R86 - 86 - Human health activities,20
3,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",19
4,O78 - 78 - Employment activities,14
5,R87 - 87 - Residential care activities,14
6,A02 - 02 - Forestry and logging,12
7,P84 - 84 - Public administration and defence; compulsory social security,10
8,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,9
9,"N73 - 73 - Activities of advertising, market research and public relations",6
10,C12 - 12 - Manufacture of tobacco products,6
11,"K62 - 62 - Computer programming, consultancy and related activities",6
12,N70 - 70 - Activities of head offices; management consultancy activities,6
13,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",6
14,R88 - 88 - Social work activities without accommodation,6
15,"D35 - 35 - Electricity, gas, steam and air conditioning supply",5
16,M68 - 68 - Real estate activities,5
17,O80 - 80 - Investigation and security activities,4
18,A03 - 03 - Fishing and aquaculture,3
19,"A01 - 01 - Crop and animal production, hunting and related service activities",3
20,I55 - 55 - Accommodation,3
