rank,primary_class,count
1,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",206
2,U97 - 97 - Activities of households as employers of domestic personnel,186
3,O78 - 78 - Employment activities,118
4,Q85 - 85 - Education,62
5,R87 - 87 - Residential care activities,54
6,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,44
7,R86 - 86 - Human health activities,38
8,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",29
9,"N73 - 73 - Activities of advertising, market research and public relations",26
10,R88 - 88 - Social work activities without accommodation,16
11,P84 - 84 - Public administration and defence; compulsory social security,14
12,O80 - 80 - Investigation and security activities,11
13,N72 - 72 - Scientific research and development,11
14,A02 - 02 - Forestry and logging,10
15,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",10
16,I55 - 55 - Accommodation,9
17,S93 - 93 - Sports activities and amusement and recreation activities,9
18,N70 - 70 - Activities of head offices; management consultancy activities,8
19,O81 - 81 - Services to buildings and landscape activities,8
20,V99 - 99 - Activities of extraterritorial organizations and bodies,8
