rank,primary_class,count
1,"K63 - 63 - Computing infrastructure, data processing, hosting, and other information service activities",149
2,R87 - 87 - Residential care activities,94
3,R86 - 86 - Human health activities,89
4,A03 - 03 - Fishing and aquaculture,72
5,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",58
6,V99 - 99 - Activities of extraterritorial organizations and bodies,56
7,N72 - 72 - Scientific research and development,52
8,N69 - 69 - Legal and accounting activities,52
9,A02 - 02 - Forestry and logging,48
10,H53 - 53 - Postal and courier activities,44
11,U97 - 97 - Activities of households as employers of domestic personnel,42
12,P84 - 84 - Public administration and defence; compulsory social security,39
13,Q85 - 85 - Education,34
14,"O79 - 79 - Travel agency, tour operator, and other travel related activities",34
15,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",28
16,G47 - 47 - Retail trade,23
17,T96 - 96 - Personal service activities,20
18,S92 - 92 - Gambling and betting activities,20
19,"A01 - 01 - Crop and animal production, hunting and related service activities",18
20,"N73 - 73 - Activities of advertising, market research and public relations",17
