rank,primary_class,count
1,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",279
2,U97 - 97 - Activities of households as employers of domestic personnel,233
3,R86 - 86 - Human health activities,96
4,R88 - 88 - Social work activities without accommodation,90
5,R87 - 87 - Residential care activities,89
6,Q85 - 85 - Education,75
7,P84 - 84 - Public administration and defence; compulsory social security,60
8,A02 - 02 - Forestry and logging,43
9,"L64 - 64 - Financial service activities, except insurance and pension funding",36
10,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,35
11,I55 - 55 - Accommodation,35
12,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",32
13,N72 - 72 - Scientific research and development,23
14,O80 - 80 - Investigation and security activities,23
15,V99 - 99 - Activities of extraterritorial organizations and bodies,22
16,O78 - 78 - Employment activities,20
17,"S91 - 91 - Library, archives, museum and other cultural activities",19
18,N69 - 69 - Legal and accounting activities,16
19,H53 - 53 - Postal and courier activities,15
20,O81 - 81 - Services to buildings and landscape activities,15
