rank,primary_class,count
1,A03 - 03 - Fishing and aquaculture,3296
2,N75 - 75 - Veterinary activities,2943
3,A02 - 02 - Forestry and logging,2885
4,Q85 - 85 - Education,2730
5,V99 - 99 - Activities of extraterritorial organizations and bodies,2250
6,R86 - 86 - Human health activities,2161
7,N72 - 72 - Scientific research and development,2061
8,"A01 - 01 - Crop and animal production, hunting and related service activities",2026
9,U97 - 97 - Activities of households as employers of domestic personnel,1939
10,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",1705
11,R87 - 87 - Residential care activities,1396
12,P84 - 84 - Public administration and defence; compulsory social security,1142
13,R88 - 88 - Social work activities without accommodation,957
14,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",877
15,N70 - 70 - Activities of head offices; management consultancy activities,819
16,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,784
17,"N73 - 73 - Activities of advertising, market research and public relations",782
18,O80 - 80 - Investigation and security activities,722
19,"L64 - 64 - Financial service activities, except insurance and pension funding",641
20,S90 - 90 - Arts creation and performing arts activities,624
